coff,method,moleculeName,PulayHelp,maxPH,maxSystem,IsMinnesota
3.8,revM11,HeNe,0.2840133639590729,0.2840133639590729,HeNe,Minnesota
3.8,revM11,NeNe,0.28234762550236603,0.2840133639590729,HeNe,Minnesota
3.4000000000000004,WB97X,HeHe,0.28170755484119453,0.28170755484119453,HeHe,Other
3.4000000000000004,WB97X,HeNe,0.20879536616028097,0.28170755484119453,HeHe,Other
3.4000000000000004,WB97X,NeNe,0.14167296385719816,0.28170755484119453,HeHe,Other
2.4,SCAN,HeHe,-0.13834930993954872,0.27958413401779425,HeNe,Other
2.4,SCAN,HeNe,0.27958413401779425,0.27958413401779425,HeNe,Other
2.4,SCAN,NeNe,-0.2932898684825638,0.27958413401779425,HeNe,Other
3.4000000000000004,M08-HX,HeHe,-0.08805976537051505,0.2791033875813261,NeNe,Minnesota
3.4000000000000004,M08-HX,HeNe,-0.23834196891191783,0.2791033875813261,NeNe,Minnesota
3.4000000000000004,M08-HX,NeNe,0.2791033875813261,0.2791033875813261,NeNe,Minnesota
2.2,M08-HX,HeHe,0.2740147286142871,0.2740147286142871,HeHe,Minnesota
2.2,M08-HX,HeNe,0.21921538474849672,0.2740147286142871,HeHe,Minnesota
2.2,M08-HX,NeNe,0.024679020239444675,0.2740147286142871,HeHe,Minnesota
3.4000000000000004,M05,HeHe,0.21526565821321797,0.26650452927284884,HeNe,Minnesota
3.4000000000000004,M05,HeNe,0.26650452927284884,0.26650452927284884,HeNe,Minnesota
3.4000000000000004,M05,NeNe,0.1281044381370145,0.26650452927284884,HeNe,Minnesota
3.6,revM11,HeHe,0.16379086045729452,0.2648484099267546,HeNe,Minnesota
3.6,revM11,HeNe,0.2648484099267546,0.2648484099267546,HeNe,Minnesota
3.6,revM11,NeNe,0.24624433022655393,0.2648484099267546,HeNe,Minnesota
3.4000000000000004,revM06,HeHe,0.015659402060973025,0.261216294671655,NeNe,Minnesota
3.4000000000000004,revM06,HeNe,0.1477565119311972,0.261216294671655,NeNe,Minnesota
3.4000000000000004,revM06,NeNe,0.261216294671655,0.261216294671655,NeNe,Minnesota
3.8,SOGGA11X,HeHe,-0.26821372147833517,0.25981206932553763,HeNe,Minnesota
3.8,SOGGA11X,HeNe,0.25981206932553763,0.25981206932553763,HeNe,Minnesota
3.8,SOGGA11X,NeNe,0.21535952375290296,0.25981206932553763,HeNe,Minnesota
4,RSCAN,HeHe,0.01785482634589313,0.2566420034149122,HeNe,Other
4,RSCAN,HeNe,0.2566420034149122,0.2566420034149122,HeNe,Other
